id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
13171,Wasurenagumo,4151,2012-03-12,Production I.G,7.03,3631,37803,17197,
49569,Xue Ying Ling Zhu 3rd Season,4152,2021-12-27,Mili Pictures,7.03,11001,2147,751,
38220,Ze Tian Ji 4th Season,4153,2018-08-22,Foch Films,7.03,10160,2787,1030,
1901,11-nin Iru!,4154,1986-11-01,Magic Bus,7.03,5897,12023,4968,
30845,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,4155,2015-08-22,Bandai Namco Pictures,7.03,9302,3718,1334,
1554,Asatte no Houkou.,4156,2006-10-06,J.C.Staff,7.03,4418,24819,10273,
1550,Attack No.1,4157,1969-12-07,Tokyo Movie Shinsha,7.03,6429,9770,3942,
286,B'T X,4158,1996-04-06,TMS Entertainment,7.03,5872,12149,5321,
24727,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,4159,2011-10-26,SILVER LINK.,7.03,4317,26180,10669,
32086,Blame! Movie,4160,2017-05-20,Polygon Pictures,7.03,1968,107653,59481,
14027,Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,4161,2012-09-26,AIC Build,7.03,1873,115163,64962,
12651,Danball Senki W,4162,2012-01-18,OLM,7.03,7546,6575,3075,
54294,Dog Signal,4163,2023-10-22,Fugaku,7.03,7682,6308,1053,
4554,Dokkiri Doctor,4164,1998-10-21,Pierrot,7.03,12079,1490,397,
2634,Doraemon: Kaette Kita Doraemon,4165,1981-01-03,Shin-Ei Animation,7.03,9747,3220,1489,
53421,Dosanko Gal wa Namara Menkoi,4166,2024-01-09,SILVER LINK.,7.03,1668,133752,48802,
25389,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",4167,2015-04-18,Toei Animation,7.03,1317,180441,122196,
1046,Elf wo Karu Mono-tachi II,4168,1997-10-02,Group TAC,7.03,5620,13677,6911,
27567,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,4169,1996-07-25,Pierrot,7.03,9969,2970,979,
47409,Gekijou Tanpen Macross Frontier: Toki no Meikyuu,4170,2021-10-08,Satelight,7.03,10031,2913,885,
31368,Grisaia no Rakuen Specials,4171,2015-08-26,8bit,7.03,2775,61846,31862,
1848,Haou Taikei Ryuu Knight,4172,1994-04-05,Sunrise,7.03,9531,3450,819,
14653,Hayate no Gotoku! Can't Take My Eyes Off You,4173,2012-10-04,Manglobe,7.03,2902,56894,26459,
4156,Ichigo Mashimaro Episode 0,4174,2005-06-08,Daume,7.03,5315,15723,8691,
2938,Idol Densetsu Eriko,4175,1989-04-03,Ashi Productions,7.03,7727,6220,1829,
